scenario,scenario_label,description,weekly_cost_eur,average_daily_cost_eur,average_kcal,average_protein_g,average_fibre_g,average_fat_g,average_prep_minutes,unique_foods,solver_objective,solver_status,solver_mip_gap,schedule_status,schedule_mip_gap,target_calorie_target,target_calorie_tolerance,target_protein_min_g,target_fibre_min_g,target_fat_min_g,target_fat_max_g,target_max_prep_minutes,target_min_daily_items,target_max_daily_items,target_min_weekly_foods,target_min_dinner_proteins,target_prep_cost_weight
balanced,Balanced,"A practical baseline balancing cost, nutrition, variety and preparation time.",44.37,6.34,2405.4,160.1,35.4,60.4,55.0,18,44.370963,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.014450339470941095,2500,100,160,30,60,100,55,7,10,14,4,0.0
budget,Budget cut,"A lower-calorie, cost-focused plan that retains a high protein floor.",41.06,5.87,2334.7,150.0,28.2,55.0,58.6,16,41.060936,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.049671091518160015,2300,100,150,28,55,90,60,7,10,13,4,0.0
high_protein,High protein,Tests the weekly cost of raising the protein constraint to 190 grams per day.,51.76,7.39,2622.1,190.0,35.3,61.4,59.6,19,51.761041,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.042986900826050924,2600,100,190,30,60,105,60,7,10,14,4,0.0
convenience,Convenience,Caps total active preparation at 35 minutes per day and lightly penalises prep time.,49.6,7.09,2302.9,160.4,45.2,73.3,35.0,21,52.54101100000001,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.04611495486976283,2400,100,160,28,55,95,35,7,10,13,4,0.012
